Patient_ID,clip_path
P001,/home/claude/synthetic_cough_audio/P001_cough1.wav
P001,/home/claude/synthetic_cough_audio/P001_cough2.wav
P001,/home/claude/synthetic_cough_audio/P001_cough3.wav
P002,/home/claude/synthetic_cough_audio/P002_cough1.wav
P002,/home/claude/synthetic_cough_audio/P002_cough2.wav
P002,/home/claude/synthetic_cough_audio/P002_cough3.wav
P003,/home/claude/synthetic_cough_audio/P003_cough1.wav
P003,/home/claude/synthetic_cough_audio/P003_cough2.wav
P003,/home/claude/synthetic_cough_audio/P003_cough3.wav
P004,/home/claude/synthetic_cough_audio/P004_cough1.wav
P004,/home/claude/synthetic_cough_audio/P004_cough2.wav
P004,/home/claude/synthetic_cough_audio/P004_cough3.wav
P005,/home/claude/synthetic_cough_audio/P005_cough1.wav
P005,/home/claude/synthetic_cough_audio/P005_cough2.wav
P005,/home/claude/synthetic_cough_audio/P005_cough3.wav
P006,/home/claude/synthetic_cough_audio/P006_cough1.wav
P006,/home/claude/synthetic_cough_audio/P006_cough2.wav
P006,/home/claude/synthetic_cough_audio/P006_cough3.wav
P007,/home/claude/synthetic_cough_audio/P007_cough1.wav
P007,/home/claude/synthetic_cough_audio/P007_cough2.wav
P007,/home/claude/synthetic_cough_audio/P007_cough3.wav
P008,/home/claude/synthetic_cough_audio/P008_cough1.wav
P008,/home/claude/synthetic_cough_audio/P008_cough2.wav
P008,/home/claude/synthetic_cough_audio/P008_cough3.wav
P009,/home/claude/synthetic_cough_audio/P009_cough1.wav
P009,/home/claude/synthetic_cough_audio/P009_cough2.wav
P009,/home/claude/synthetic_cough_audio/P009_cough3.wav
P010,/home/claude/synthetic_cough_audio/P010_cough1.wav
P010,/home/claude/synthetic_cough_audio/P010_cough2.wav
P010,/home/claude/synthetic_cough_audio/P010_cough3.wav
P011,/home/claude/synthetic_cough_audio/P011_cough1.wav
P011,/home/claude/synthetic_cough_audio/P011_cough2.wav
P011,/home/claude/synthetic_cough_audio/P011_cough3.wav
P012,/home/claude/synthetic_cough_audio/P012_cough1.wav
P012,/home/claude/synthetic_cough_audio/P012_cough2.wav
P012,/home/claude/synthetic_cough_audio/P012_cough3.wav
P013,/home/claude/synthetic_cough_audio/P013_cough1.wav
P013,/home/claude/synthetic_cough_audio/P013_cough2.wav
P013,/home/claude/synthetic_cough_audio/P013_cough3.wav
P014,/home/claude/synthetic_cough_audio/P014_cough1.wav
P014,/home/claude/synthetic_cough_audio/P014_cough2.wav
P014,/home/claude/synthetic_cough_audio/P014_cough3.wav
P015,/home/claude/synthetic_cough_audio/P015_cough1.wav
P015,/home/claude/synthetic_cough_audio/P015_cough2.wav
P015,/home/claude/synthetic_cough_audio/P015_cough3.wav
P016,/home/claude/synthetic_cough_audio/P016_cough1.wav
P016,/home/claude/synthetic_cough_audio/P016_cough2.wav
P016,/home/claude/synthetic_cough_audio/P016_cough3.wav
P017,/home/claude/synthetic_cough_audio/P017_cough1.wav
P017,/home/claude/synthetic_cough_audio/P017_cough2.wav
P017,/home/claude/synthetic_cough_audio/P017_cough3.wav
P018,/home/claude/synthetic_cough_audio/P018_cough1.wav
P018,/home/claude/synthetic_cough_audio/P018_cough2.wav
P018,/home/claude/synthetic_cough_audio/P018_cough3.wav
P019,/home/claude/synthetic_cough_audio/P019_cough1.wav
P019,/home/claude/synthetic_cough_audio/P019_cough2.wav
P019,/home/claude/synthetic_cough_audio/P019_cough3.wav
P020,/home/claude/synthetic_cough_audio/P020_cough1.wav
P020,/home/claude/synthetic_cough_audio/P020_cough2.wav
P020,/home/claude/synthetic_cough_audio/P020_cough3.wav
P021,/home/claude/synthetic_cough_audio/P021_cough1.wav
P021,/home/claude/synthetic_cough_audio/P021_cough2.wav
P021,/home/claude/synthetic_cough_audio/P021_cough3.wav
P022,/home/claude/synthetic_cough_audio/P022_cough1.wav
P022,/home/claude/synthetic_cough_audio/P022_cough2.wav
P022,/home/claude/synthetic_cough_audio/P022_cough3.wav
P023,/home/claude/synthetic_cough_audio/P023_cough1.wav
P023,/home/claude/synthetic_cough_audio/P023_cough2.wav
P023,/home/claude/synthetic_cough_audio/P023_cough3.wav
P024,/home/claude/synthetic_cough_audio/P024_cough1.wav
P024,/home/claude/synthetic_cough_audio/P024_cough2.wav
P024,/home/claude/synthetic_cough_audio/P024_cough3.wav
P025,/home/claude/synthetic_cough_audio/P025_cough1.wav
P025,/home/claude/synthetic_cough_audio/P025_cough2.wav
P025,/home/claude/synthetic_cough_audio/P025_cough3.wav
P026,/home/claude/synthetic_cough_audio/P026_cough1.wav
P026,/home/claude/synthetic_cough_audio/P026_cough2.wav
P026,/home/claude/synthetic_cough_audio/P026_cough3.wav
P027,/home/claude/synthetic_cough_audio/P027_cough1.wav
P027,/home/claude/synthetic_cough_audio/P027_cough2.wav
P027,/home/claude/synthetic_cough_audio/P027_cough3.wav
P028,/home/claude/synthetic_cough_audio/P028_cough1.wav
P028,/home/claude/synthetic_cough_audio/P028_cough2.wav
P028,/home/claude/synthetic_cough_audio/P028_cough3.wav
P029,/home/claude/synthetic_cough_audio/P029_cough1.wav
P029,/home/claude/synthetic_cough_audio/P029_cough2.wav
P029,/home/claude/synthetic_cough_audio/P029_cough3.wav
P030,/home/claude/synthetic_cough_audio/P030_cough1.wav
P030,/home/claude/synthetic_cough_audio/P030_cough2.wav
P030,/home/claude/synthetic_cough_audio/P030_cough3.wav
P031,/home/claude/synthetic_cough_audio/P031_cough1.wav
P031,/home/claude/synthetic_cough_audio/P031_cough2.wav
P031,/home/claude/synthetic_cough_audio/P031_cough3.wav
P032,/home/claude/synthetic_cough_audio/P032_cough1.wav
P032,/home/claude/synthetic_cough_audio/P032_cough2.wav
P032,/home/claude/synthetic_cough_audio/P032_cough3.wav
P033,/home/claude/synthetic_cough_audio/P033_cough1.wav
P033,/home/claude/synthetic_cough_audio/P033_cough2.wav
P033,/home/claude/synthetic_cough_audio/P033_cough3.wav
P034,/home/claude/synthetic_cough_audio/P034_cough1.wav
P034,/home/claude/synthetic_cough_audio/P034_cough2.wav
P034,/home/claude/synthetic_cough_audio/P034_cough3.wav
P035,/home/claude/synthetic_cough_audio/P035_cough1.wav
P035,/home/claude/synthetic_cough_audio/P035_cough2.wav
P035,/home/claude/synthetic_cough_audio/P035_cough3.wav
P036,/home/claude/synthetic_cough_audio/P036_cough1.wav
P036,/home/claude/synthetic_cough_audio/P036_cough2.wav
P036,/home/claude/synthetic_cough_audio/P036_cough3.wav
P037,/home/claude/synthetic_cough_audio/P037_cough1.wav
P037,/home/claude/synthetic_cough_audio/P037_cough2.wav
P037,/home/claude/synthetic_cough_audio/P037_cough3.wav
P038,/home/claude/synthetic_cough_audio/P038_cough1.wav
P038,/home/claude/synthetic_cough_audio/P038_cough2.wav
P038,/home/claude/synthetic_cough_audio/P038_cough3.wav
P039,/home/claude/synthetic_cough_audio/P039_cough1.wav
P039,/home/claude/synthetic_cough_audio/P039_cough2.wav
P039,/home/claude/synthetic_cough_audio/P039_cough3.wav
P040,/home/claude/synthetic_cough_audio/P040_cough1.wav
P040,/home/claude/synthetic_cough_audio/P040_cough2.wav
P040,/home/claude/synthetic_cough_audio/P040_cough3.wav
P041,/home/claude/synthetic_cough_audio/P041_cough1.wav
P041,/home/claude/synthetic_cough_audio/P041_cough2.wav
P041,/home/claude/synthetic_cough_audio/P041_cough3.wav
P042,/home/claude/synthetic_cough_audio/P042_cough1.wav
P042,/home/claude/synthetic_cough_audio/P042_cough2.wav
P042,/home/claude/synthetic_cough_audio/P042_cough3.wav
P043,/home/claude/synthetic_cough_audio/P043_cough1.wav
P043,/home/claude/synthetic_cough_audio/P043_cough2.wav
P043,/home/claude/synthetic_cough_audio/P043_cough3.wav
P044,/home/claude/synthetic_cough_audio/P044_cough1.wav
P044,/home/claude/synthetic_cough_audio/P044_cough2.wav
P044,/home/claude/synthetic_cough_audio/P044_cough3.wav
P045,/home/claude/synthetic_cough_audio/P045_cough1.wav
P045,/home/claude/synthetic_cough_audio/P045_cough2.wav
P045,/home/claude/synthetic_cough_audio/P045_cough3.wav
P046,/home/claude/synthetic_cough_audio/P046_cough1.wav
P046,/home/claude/synthetic_cough_audio/P046_cough2.wav
P046,/home/claude/synthetic_cough_audio/P046_cough3.wav
P047,/home/claude/synthetic_cough_audio/P047_cough1.wav
P047,/home/claude/synthetic_cough_audio/P047_cough2.wav
P047,/home/claude/synthetic_cough_audio/P047_cough3.wav
P048,/home/claude/synthetic_cough_audio/P048_cough1.wav
P048,/home/claude/synthetic_cough_audio/P048_cough2.wav
P048,/home/claude/synthetic_cough_audio/P048_cough3.wav
P049,/home/claude/synthetic_cough_audio/P049_cough1.wav
P049,/home/claude/synthetic_cough_audio/P049_cough2.wav
P049,/home/claude/synthetic_cough_audio/P049_cough3.wav
P050,/home/claude/synthetic_cough_audio/P050_cough1.wav
P050,/home/claude/synthetic_cough_audio/P050_cough2.wav
P050,/home/claude/synthetic_cough_audio/P050_cough3.wav
